"","lakeID","buildingDensity200m.sc","sizeHa.sc","prop_public","campgrounds","June","July","August","hourOfDay.sc","hourOfDay.squ.sc","weekend","adverse","covid","predictions"
"53","LV",-0.388725277295469,1.49265018428055,0.584511414,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,1.88395505235939
"54","LV",-0.388725277295469,1.49265018428055,0.584511414,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,2.64790196932028
"55","NH",-0.943979615107087,-1.2321872263744,0.231650632,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.362318110021126
"56","NH",-0.943979615107087,-1.2321872263744,0.231650632,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.602021359151286
"57","PK",0.230954039785918,0.200966535888815,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.484400101604892
"58","PK",0.230954039785918,0.200966535888815,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.411157231484039
"59","PN",0.905514788933218,1.17895558395684,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.822118692572692
"60","PN",0.905514788933218,1.17895558395684,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.813010117120502
"61","PT",-1.1413767946685,-0.0143140721764751,0.928176908,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.202862789339855
"62","PT",-1.1413767946685,-0.0143140721764751,0.928176908,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.725235969674243
"63","SA",-0.164994376502677,-0.438724413790903,0.139635041,1,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.391542351774933
"64","SA",-0.164994376502677,-0.438724413790903,0.139635041,1,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.879702696630945
"65","SE",-0.64613030871308,-1.17682935572904,0.553371027,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.152166866235925
"66","SE",-0.64613030871308,-1.17682935572904,0.553371027,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.169776229979993
"67","SM",0.862872743827946,1.75713778847505,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.291145785852359
"68","SM",0.862872743827946,1.75713778847505,0,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.546647451234539
"69","SV",1.82982576566901,-1.10916973605138,0.107383749,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.0986007983246095
"70","SV",1.82982576566901,-1.10916973605138,0.107383749,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.206106000646247
"71","UG",-0.286123304925884,0.766846991374719,0.480401761,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,2.09863867274461
"72","UG",-0.286123304925884,0.766846991374719,0.480401761,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,1.93794445368086
"73","WB",-0.817915479098739,-0.764720763146914,0.834155416,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.0361265931855971
"74","WB",-0.817915479098739,-0.764720763146914,0.834155416,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.0993174252308039
"75","WN",-1.01501006590373,-0.0696719428218355,0.880101941,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,0,0.101747572935753
"76","WN",-1.01501006590373,-0.0696719428218355,0.880101941,0,0,0,0,1.89112967826685e-16,-7.30815365968972e-17,"0",0,1,0.246382561661067
