siteID,lakeID,site,lat,long,UTM,updateID,siteID,sampleID,dayOfYear,dateSet,dateSample,dateTimeSet,dateTimeSample,crew,gear,sampleGroup,effort,effortUnits,useEffort,weather,comments,metadataID,updateID,sampleID,trailerCountID,boatCountID,time,projectID,boatCountID,boatID,boatNum,vesselType,passengerCount,fishing,residentRover,notes,enteredBy,updateID
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,16,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,18:29,36,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910_1,1,gas_motor,1,0,rover,DNR creeler,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,17,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,18:29,36,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910_2,2,gas_motor,2,1,rover,,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,18,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,18:29,36,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910_3,3,gas_motor,3,1,,Moved as I approached.,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,19,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,18:29,36,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910_4,4,gas_motor,1,1,resident,2 dogs all the way back to the left.,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,20,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,18:29,36,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910_5,5,gas_motor,2,1,resident,,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,21,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,18:29,36,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910_6,6,gas_motor,2,1,rover,Behind island 2.,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,22,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,18:29,36,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910_7,7,gas_motor,2,1,resident,Not really residents staying in a cabin.,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,23,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,18:29,36,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1829_CR_fishscapesCreel.Instantaneous.20180910_8,8,gas_motor,1,1,rover,,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,24,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,20:08,36,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910_1,1,gas_motor,2,0,resident,,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,25,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,20:08,36,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910_2,2,gas_motor,2,1,resident,,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,26,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,20:08,36,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910_3,3,gas_motor,3,1,resident,,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,27,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,20:08,36,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910_4,4,gas_motor,2,1,resident,,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,28,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,20:08,36,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910_5,5,gas_motor,2,1,resident,,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,29,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,20:08,36,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_2008_CR_fishscapesCreel.Instantaneous.20180910_6,6,gas_motor,3,1,,Moved as I approached.,CMI,
